,Unnamed: 0,customerid,churn,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,charges_monthly,charges_total,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines
0,0,0002-ORFBO,0,DSL,No,Yes,No,Yes,Yes,No,One year,1,Mailed check,65.6,593.3,Female,0,1,1,9,1,No
1,1,0003-MKNFE,0,DSL,No,No,No,No,No,Yes,Month-to-month,0,Mailed check,59.9,542.4,Male,0,0,0,9,1,Yes
2,2,0004-TLHLJ,1,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,73.9,280.85,Male,0,0,0,4,1,No
3,3,0011-IGKFF,1,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,1,Electronic check,98.0,1237.85,Male,1,1,0,13,1,No
4,4,0013-EXCHZ,1,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,1,Mailed check,83.9,267.4,Female,1,1,0,3,1,No
5,5,0013-MHZWF,0,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,1,Credit card (automatic),69.4,571.45,Female,0,0,1,9,1,No
6,6,0013-SMEOE,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Bank transfer (automatic),109.7,7904.25,Female,1,1,0,71,1,No
7,7,0014-BMAQU,0,Fiber optic,Yes,No,No,Yes,No,No,Two year,1,Credit card (automatic),84.65,5377.8,Male,0,1,0,63,1,Yes
8,8,0015-UOCOJ,0,DSL,Yes,No,No,No,No,No,Month-to-month,1,Electronic check,48.2,340.35,Female,1,0,0,7,1,No
9,9,0016-QLJIS,0,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Mailed check,90.45,5957.9,Female,0,1,1,65,1,Yes
10,10,0017-DINOC,0,DSL,Yes,No,No,Yes,Yes,No,Two year,0,Credit card (automatic),45.2,2460.55,Male,0,0,0,54,0,No phone service
11,11,0017-IUDMW,0,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),116.8,8456.75,Female,0,1,1,72,1,Yes
12,12,0018-NYROU,0,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,68.95,351.5,Female,0,1,0,5,1,No
13,13,0019-EFAEP,0,Fiber optic,Yes,Yes,Yes,No,Yes,No,Two year,1,Bank transfer (automatic),101.3,7261.25,Female,0,0,0,72,1,Yes
14,14,0019-GFNTW,0,DSL,Yes,Yes,Yes,Yes,No,No,Two year,0,Bank transfer (automatic),45.05,2560.1,Female,0,0,0,56,0,No phone service
